time,state,V,label,unix_time,state_numeric,daylight,too_dark
2024-08-06 08:18:07+01:00,Flood,8160,,1722928687,-1,0,True
2024-08-06 08:24:06+01:00,Flood,8160,,1722929046,-1,0,True
2024-08-06 08:30:07+01:00,Flood,8160,,1722929407,-1,0,True
2024-08-06 08:36:07+01:00,Flood,8160,,1722929767,-1,0,True
2024-08-06 08:42:07+01:00,Flood,8160,,1722930127,-1,0,True
2024-08-06 08:48:06+01:00,Flood,8160,,1722930486,-1,0,True
2024-08-06 08:54:06+01:00,Flood,8160,,1722930846,-1,0,True
2024-08-06 09:00:07+01:00,Flood,8160,,1722931207,-1,0,True
2024-08-06 09:06:07+01:00,Flood,8160,,1722931567,-1,0,True
2024-08-06 09:12:07+01:00,Flood,8160,,1722931927,-1,0,True
2024-08-06 09:18:07+01:00,Flood,8160,,1722932287,-1,0,True
2024-08-06 09:24:07+01:00,Flood,8160,,1722932647,-1,0,True
2024-08-06 09:30:07+01:00,Flood,8160,,1722933007,-1,0,True
2024-08-06 09:36:07+01:00,Flood,8160,,1722933367,-1,0,True
2024-08-06 09:42:07+01:00,Flood,8160,,1722933727,-1,0,True
2024-08-06 09:48:07+01:00,Flood,8160,,1722934087,-1,0,True
2024-08-06 09:54:07+01:00,Flood,8160,,1722934447,-1,0,True
2024-08-06 10:00:06+01:00,Flood,8160,,1722934806,-1,0,True
2024-08-06 10:06:06+01:00,Flood,8160,,1722935166,-1,0,True
2024-08-06 10:12:06+01:00,Flood,8160,,1722935526,-1,0,True
2024-08-06 10:18:06+01:00,NoFlood,8176,,1722935886,-1,0,True
2024-08-06 10:24:07+01:00,Flood,8160,,1722936247,-1,0,True
2024-08-06 10:30:07+01:00,Flood,8160,,1722936607,-1,0,True
2024-08-06 10:42:07+01:00,NoFlood,8176,,1722937327,-1,0,True
2024-08-06 10:48:07+01:00,Flood,8160,,1722937687,-1,0,True
2024-08-06 10:54:07+01:00,Flood,8160,,1722938047,-1,0,True
2024-08-06 11:00:07+01:00,Flood,8160,,1722938407,-1,0,True
2024-08-06 11:06:07+01:00,Flood,8160,,1722938767,-1,0,True
2024-08-06 11:12:07+01:00,Flood,8160,,1722939127,-1,0,True
2024-08-06 11:18:07+01:00,NoFlood,8176,NoFlood,1722939487,1,0,False
2024-08-06 11:24:07+01:00,NoFlood,8176,NoFlood,1722939847,1,0,False
2024-08-06 11:30:07+01:00,NoFlood,8176,NoFlood,1722940207,1,1,False
2024-08-06 11:36:07+01:00,NoFlood,8176,NoFlood,1722940567,1,1,False
2024-08-06 11:54:07+01:00,NoFlood,8176,Flood,1722941647,0,1,False
2024-08-06 12:00:07+01:00,NoFlood,8176,NoFlood,1722942007,1,1,False
2024-08-06 12:06:07+01:00,NoFlood,8176,NoFlood,1722942367,1,1,False
2024-08-06 12:12:07+01:00,NoFlood,8176,NoFlood,1722942727,1,1,False
2024-08-06 12:18:07+01:00,NoFlood,8176,NoFlood,1722943087,1,1,False
2024-08-06 12:24:07+01:00,NoFlood,8176,NoFlood,1722943447,1,1,False
2024-08-06 12:30:06+01:00,NoFlood,8176,NoFlood,1722943806,1,1,False
2024-08-06 12:36:07+01:00,NoFlood,8176,NoFlood,1722944167,1,1,False
2024-08-06 12:42:06+01:00,NoFlood,8176,Flood,1722944526,0,1,False
2024-08-06 12:48:07+01:00,NoFlood,8176,Flood,1722944887,0,1,False
2024-08-06 12:54:07+01:00,NoFlood,8176,Flood,1722945247,0,1,False
2024-08-06 13:00:07+01:00,NoFlood,8176,Flood,1722945607,0,1,False
2024-08-06 13:06:07+01:00,NoFlood,8176,Flood,1722945967,0,1,False
2024-08-06 13:12:07+01:00,NoFlood,8176,Flood,1722946327,0,1,False
2024-08-06 13:18:06+01:00,NoFlood,8176,Flood,1722946686,0,1,False
2024-08-06 13:24:07+01:00,NoFlood,8176,Flood,1722947047,0,1,False
2024-08-06 13:30:07+01:00,NoFlood,8176,Flood,1722947407,0,1,False
2024-08-06 13:36:07+01:00,NoFlood,8176,Flood,1722947767,0,1,False
2024-08-06 13:42:07+01:00,NoFlood,8176,Flood,1722948127,0,1,False
2024-08-06 13:48:07+01:00,NoFlood,8176,Flood,1722948487,0,1,False
2024-08-06 13:54:07+01:00,NoFlood,8176,Flood,1722948847,0,1,False
2024-08-06 14:00:07+01:00,NoFlood,8176,Flood,1722949207,0,1,False
2024-08-06 14:06:07+01:00,NoFlood,8176,Flood,1722949567,0,1,False
2024-08-06 14:12:07+01:00,NoFlood,8176,Flood,1722949927,0,1,False
2024-08-06 14:18:07+01:00,NoFlood,8176,Flood,1722950287,0,1,False
2024-08-06 14:24:07+01:00,NoFlood,8176,Flood,1722950647,0,1,False
2024-08-06 14:30:07+01:00,NoFlood,8176,Flood,1722951007,0,1,False
2024-08-06 14:36:07+01:00,NoFlood,8176,Flood,1722951367,0,1,False
2024-08-06 14:42:07+01:00,NoFlood,8176,Flood,1722951727,0,1,False
2024-08-06 14:48:07+01:00,NoFlood,8176,Flood,1722952087,0,1,False
